-364,-374,6735
-317,-338,6796
-327,-357,6813
-237,-328,7068
-154,-349,7327
-49,-239,7491
120,-213,7585
216,-258,7785
313,-298,7952
601,-287,8152
644,-295,8214
866,-226,8264
1066,-175,8340
1412,-296,8539
1616,-232,8474
1707,-279,8537
2085,-163,8543
2423,-170,8477
2602,-220,8462
2822,-215,8378
3041,-144,8217
3130,-83,8067
3457,-49,7814
3704,-64,7538
3860,-43,7373
4040,-77,6931
4162,-28,6499
4150,-36,6201
4098,18,5851
4088,9,5559
3881,28,5140
3595,3,4766
3191,-86,4337
2849,-228,4119
2502,-261,3986
2070,-334,3937
1650,-282,3961
1155,-123,4214
842,-190,4340
570,-352,4363
303,-422,4518
192,-456,4675
11,-420,4931
-210,-455,5229
-366,-465,5826
-369,-400,6086
-349,-386,6469
-246,-259,6743
-220,-256,6918
-266,-306,6867
-255,-300,6896
-250,-271,6792
-230,-297,6895
-237,-283,7074
-288,-700,7291
-334,-1854,7322
-303,-2575,6941
-143,-2935,6461
-81,-2973,5940
-140,-2926,5967
-79,-2856,5749
-60,-2807,5665
-42,-2843,5588
125,-2899,5276
287,-2753,4867
474,-2697,4515
706,-2628,4302
910,-2573,4156
1120,-2649,4070
1443,-2685,4025
1783,-2755,3892
2011,-2769,3923
2399,-2860,3957
2600,-2872,3969
2910,-2939,4088
3246,-2855,4310
3571,-2895,4413
3751,-2894,4672
3933,-2981,4926
4139,-3043,5319
4316,-3111,5817
4311,-3168,6202
4191,-3217,6696
4016,-3241,7128
3710,-3184,7646
3419,-3165,8007
3166,-2999,8230
2837,-2935,8425
2307,-2811,8612
2151,-2779,8635
1822,-2674,8607
1515,-2631,8626
1175,-2558,8499
880,-2518,8460
654,-2456,8302
257,-2548,8013
8,-2509,7763
-143,-2432,7408
-241,-2457,7261
-342,-2516,6914
-437,-2516,6599
-427,-2577,6085
-328,-2638,5670
-154,-2685,5334
-190,-2752,5361
-157,-2673,5422
-302,-2642,5644
-333,-2618,5645
-258,-2708,5554
-134,-2729,5542
-193,-2808,5693
-239,-2806,5697
-270,-2672,5563
-251,-2629,5480
-279,-2587,5452
-163,-2258,5059
-160,-1576,4939
-177,-1062,4905
-137,-1101,4913
-126,-1152,4830
-153,-1202,4897
-229,-1193,4955
-323,-976,5269
-315,-962,5270
-283,-927,5181
-204,-734,5278
-70,-573,5001
21,-282,5025
162,14,5201
408,181,5114
629,309,5121
762,409,5048
765,412,5100
1075,534,5100
1222,626,5125
1447,659,5083
1762,739,5062
2022,723,5089
2168,740,5049
2438,700,5060
2475,660,5006
2545,633,4993
2651,574,4915
3061,333,4816
3323,107,4631
3555,-53,4712
3727,-208,4693
3916,-415,4771
4119,-701,4772
4197,-1130,4664
4194,-1533,4673
4182,-1796,4647
4180,-2145,4633
3981,-2503,4666
3734,-2939,4639
3439,-3261,4651
3001,-3531,4791
2535,-3683,4730
2119,-3806,4805
1829,-3784,4892
1638,-3782,4992
1425,-3772,5015
1064,-3728,5228
786,-3679,5348
469,-3457,5369
177,-3208,5401
-216,-2637,5426
-416,-1996,5356
-417,-1605,5358
-412,-1297,5420
-418,-1101,5422
-322,-862,5395
-326,-678,5438
-274,-656,5364
-276,-664,5286
-255,-538,5394
-301,-422,5889
-279,-322,6768
-295,-1289,7574
-257,-1657,7658
-183,-1883,7640
-163,-2053,7561
-207,-2029,7589
-243,-2042,7513
-165,-2220,7409
-134,-2297,7539
-66,-2557,7418
138,-2879,7449
360,-3165,7385
657,-3484,7330
870,-3683,7165
1036,-3817,7105
1495,-4045,7031
1880,-4100,7059
2114,-4135,7065
2498,-4101,7050
2731,-4061,7100
3000,-3969,7017
3199,-3917,6912
3511,-3749,6963
3800,-3534,6991
3950,-3408,7024
4137,-3120,7102
4276,-2794,7274
4374,-2443,7347
4442,-1989,7408
4463,-1676,7496
4303,-1270,7563
4162,-728,7665
3895,-509,7712
3679,-166,7728
3299,128,7717
2951,421,7672
2620,627,7412
2337,736,7287
1973,820,7124
1692,909,6973
1151,840,6892
906,728,6815
710,598,7001
428,453,6992
228,228,7066
58,114,7050
-121,-269,7128
-360,-591,7083
-392,-890,7221
-358,-1137,7336
-312,-1411,7421
-290,-1684,7504
-239,-2010,7565
-164,-2127,7471
-172,-2136,7475
-151,-2192,7500
-175,-2178,7530
-190,-2219,7376
-296,-2352,7012
-514,-2165,6523
-572,-1790,5981
-431,-1099,5595
-217,-282,5799
141,194,5841
504,420,5716
478,452,5804
573,556,5942
633,648,6438
690,583,6743
654,549,6842
651,574,6794
550,555,6363
537,519,5918
219,124,5482
113,-283,5090
85,-747,4758
116,-1247,4549
164,-1647,4516
135,-2285,4753
178,-2643,4882
205,-2900,5039
222,-3145,5359
265,-3313,5738
262,-3380,6261
213,-3233,6907
183,-3048,7024
243,-2977,7251
104,-2529,7596
35,-2357,7605
13,-2116,7664
-16,-1741,7776
22,-1439,7902
127,-1159,7881
32,-735,7736
55,-466,7455
-34,-146,6989
-66,11,6537
-55,-17,6240
-24,-30,5751
-67,-150,5510
-22,-120,5500
-53,-178,5466
-6,-195,5422
-32,-159,5556
91,35,5666
-206,-284,5794
-488,-1117,5787
-470,-2007,5745
54,-3165,5691
991,-3811,5351
2168,-4238,5622
3201,-4049,5709
3378,-4010,5812
3354,-4016,5724
3379,-3951,5707
3417,-3890,5606
3405,-3830,5206
3414,-3666,4841
3426,-3274,4443
3493,-2768,4168
3540,-1969,3953
3546,-1457,3904
3521,-916,4018
3496,-108,4547
3581,210,4995
3545,456,5354
3508,625,5787
3334,731,6299
3219,664,7016
3268,520,7310
3364,131,7791
3422,-300,8114
3390,-684,8315
3422,-1219,8530
3419,-1881,8517
3451,-2540,8406
3336,-3152,8097
3326,-3482,7793
3305,-3642,7588
3264,-3762,7332
3365,-4024,6918
3370,-4030,6534
3373,-4071,6290
3321,-4082,5817
3287,-4004,5517
3276,-3917,5228
3258,-3857,5227
3353,-3816,5222
3343,-3843,5324
3376,-3840,5293
3362,-3857,5324
3369,-3793,5272
3390,-3862,5272
3344,-3833,5293
3423,-3776,5314
3398,-3798,5309
3369,-3845,5310
3385,-3820,5257
3375,-3862,5309
3381,-3813,5295
3400,-3767,5295
3367,-3852,5269
3366,-3808,5317
3407,-3821,5353
3397,-3839,5339
3361,-3856,5384
3381,-3860,5344
3410,-3867,5368
3428,-3808,5400
3369,-3869,5422
3452,-3837,5361
3430,-3876,5342
3429,-3839,5319
